title,price,rating,reviews,availability
"Pink 27 inch Curved Gaming Monitor 2K 165Hz, QHD 1440P,1800R LED Display,Pink Computer Monitor,1ms (MPRT),FreeSync,Eye-Care Technology, DP, HDMI Port for Gaming Home Office,VESA(75mm*75mm)",$239.99,3.9 out of 5 stars,84 ratings,In Stock
"Reading Pillow for Gaming, Extra Large Arm Rest Pillow for Adult, Memory Foam Bed Rest Pillow for Reading, Working, Playing Steam Deck Switch or Sitting in Bed Floor Sofa(Grey)",$59.99,4.2 out of 5 stars,"1,212 ratings",In Stock
"Gaming Sock, Do Not Disturb I'm Gaming,Gaming Socks for Teen Boys Gamer with Glowing, Novelty Socks for Men Dad Father Women",$6.79,4.5 out of 5 stars,402 ratings,In Stock
"AOC 24G15N 24"" Gaming Monitor, Full HD 1920x1080, 180Hz 1ms, 1x HDMI 2.0, 1x Display Port, Adaptive-Sync, 3-Sided Frameless, HDR Ready, Console Gaming Ready, 3-Year Zero-Bright-Dot",$109.99,4.6 out of 5 stars,"17,813 ratings",In Stock
"Corsair VOID RGB ELITE Wireless Gaming Headset - 7.1 Surround Sound - Discord Certified - iCUE Compatible - PC, Mac, PS5, PS4 - White",$103.10,4.3 out of 5 stars,"22,929 ratings",In Stock
"Curved Monitor - 30 Inch Ultra Wide Monitor 200Hz WFHD, 1800R Curved Gaming Monitor 2560x1080p, 1ms, 100% sRGB, FreeSync, HDMI DP Display, Dual Speakers, VESA, PC Monitor with Rainbow Lights",$219.99,4.1 out of 5 stars,300 ratings,Not Available
"Game Ambient Smart Lighting, Gaming Monitor LED Backlight, LED Ambient Lights for Computers Screen Color & Music & Game Sync LED Strip Lights via Software Control (27"" Screen)",$29.99,4.5 out of 5 stars,12 ratings,In Stock
"Small Gaming Desk with 2 Fabric Drawers - Reversible Computer Desk with Power Outlet & LED Lights, 49"" Office Desk with Monitor Stand & Storage Shelves, Writing Study Table with Pegboard, Black",$119.99,4.1 out of 5 stars,29 ratings,In Stock
"Hexagon Lights (8 Pack) LED Wall Panels, TISOFU RGB Gaming Lights with APP, Smart Modular Panel Hex Tiles Push Glide Expansion Shapes Lights",$39.98,4.3 out of 5 stars,431 ratings,In Stock
Logitech G Pro Wireless Gaming Mouse with Esports Grade Performance,$54.29,4.6 out of 5 stars,"12,553 ratings",In Stock
"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",$96.95,4.6 out of 5 stars,"31,396 ratings",
"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",$96.95,4.6 out of 5 stars,"53,206 ratings",
"MSI Thin 15 15.6” 144Hz FHD Gaming Laptop: Intel Core i7-12650H, NVIDIA Geforce RTX 4050, 16GB DDR5, 512GB NVMe SSD, Cooler Boost 5, Win 11: Black B12VE-2023US",$869.69,4.3 out of 5 stars,867 ratings,In Stock
"Japanese Gaming Mouse Pad Black Mouse Pad Kanagawa Large Mousepad Non-Slip Rubber Base Waterproof with Stitched Edges for Gaming Office Home, 31.5x11.8 Inch (Black Wave)",$13.66,4.7 out of 5 stars,305 ratings,In Stock
"Bestier Computer Desk with Reversible Power Outlets, 55 inch LED Gaming Desk with Monitor Stand & Adjustable Shelves, Writing Desk with Cup Holder & Hook for Home Office, Retro Grey Oak-Light",$149.99,4.7 out of 5 stars,63 ratings,In Stock
"iBUYPOWER Trace 7 Mesh Gaming PC Computer Desktop TMA7N3501 (AMD Ryzen 7 5700, RTX 3050 6GB, 16GB DDR4 RGB 3200MHz (8x2), 1TB NVMe, WiFi Ready, Windows 11 Home Advanced)",$799.99,4.2 out of 5 stars,44 ratings,In Stock
"34 Inch Ultrawide Curved 144Hz Gaming Computer Monitor 1500R PC Screen、21:9 UWQHD (3440x1440),Adaptive Sync,178° Viewing Angle,Display Port、HDMI,Compatible with Wall mounting - Black",$199.99,4.4 out of 5 stars,73 ratings,In Stock
"Logitech G920 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for Xbox Series X|S, Xbox One, PC, Mac - Black",$22900,4.6 out of 5 stars,"20,854 ratings",
"Large Gaming Mouse Pad, Technological Nebula Style Professional Gaming Mousepad, Non-Slip Waterproof Rubber Base Mouse Pad for Gaming & Office & Home, 31.5 x 11.8inch Full Desk Mouse Pad",$5.99,4.6 out of 5 stars,137 ratings,In Stock
"Razer Barracuda X Wireless Gaming & Mobile Headset (PC, PlayStation, Switch, Android, iOS): 2.4GHz Wireless + Bluetooth - Lightweight - 40mm Drivers - Detachable Mic - 50 Hr Battery - Mercury White",$99.00,4.1 out of 5 stars,"3,101 ratings",In Stock
"Xbox Core Wireless Gaming Controller – Carbon Black – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS",$44.49,4.6 out of 5 stars,"77,818 ratings",Not Available
"Casaottima L Shaped Gaming Desk, Corner Desk Gaming Table for Home Office, Computer Desk Sturdy Writing Workstation for Small Space, Easy to Assemble, 51 inch, Carbon Fiber Surface, Black",$65.28,4.5 out of 5 stars,897 ratings,In Stock
"Acer Nitro 27"" 1500R Curved Full HD PC Gaming Monitor | AMD FreeSync Premium | 240Hz | 1ms VRB | Speakers | HDR10 | ErgoStand | VESA Mounting Compliant | 1 x DP 1.4 & 2 x HDMI 2.0 | XZ270 X2bmiiphx",$159.99,4.6 out of 5 stars,"2,010 ratings",In Stock
"Hasbro Gaming Jenga Classic Game with Genuine Hardwood Blocks,Stacking Tower Game for 1 or More Players,Kids Ages 6 and Up",$7.49,4.8 out of 5 stars,"98,852 ratings",In Stock
"Paladone Playstation Controller Icons Light with 3 Light Modes - Sound Reactive, Dynamic Phasing, and Standard Mode - Gaming Desk Accessories and Game Room Decor",$21.99,4.7 out of 5 stars,"35,775 ratings",In Stock
"Womier S-K80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard, Wired Hot Swappable Keyboard, Gasket Mount RGB Custom Keyboard, Pre-lubed Stabilizer for Mac/Win, Black Kanagawa",$69.99,4.6 out of 5 stars,541 ratings,In Stock
"Sceptre IPS 24” Gaming Monitor 165Hz 144Hz Full HD (1920 x 1080) FreeSync Eye Care FPS RTS DisplayPort HDMI Build-in Speakers, Machine Black 2020 (E248B-FPT168),IPS 24"" 165Hz",$119.67,4.5 out of 5 stars,"5,387 ratings",In Stock
"Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black",$114.99,4.5 out of 5 stars,"2,627 ratings",In Stock
"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN1)",$180.54,4.5 out of 5 stars,"11,980 ratings",In Stock
"Logitech G Pro X Wired Gaming Headset: Blue VO!CE Detachable Boom Mic, DTS 7.1, 50 mm Drivers, USB/3.5mm Aux, Spare Memory Foam Ear Pads, USB DAC & Bag Included, for PC, Xbox, PS5, PS4 - Black",$64.82,4.4 out of 5 stars,"6,397 ratings",In Stock
"Logitech G733 Lightspeed Wireless Gaming Headset with Suspension Headband, Lightsync RGB, Blue VO!CE mic technology and PRO-G audio drivers - Black",$86.00,4.4 out of 5 stars,"16,677 ratings",Not Available
"MageGee 75% Mechanical Gaming Keyboard with Blue Switch, LED Blue Backlit Keyboard, 87 Keys Compact TKL Wired Computer Keyboard for Windows Laptop PC Gamer - Blue/White",$29.99,4.2 out of 5 stars,"3,139 ratings",In Stock
"Logitech G502 Lightspeed Wireless Gaming Mouse with Hero 25K Sensor, PowerPlay Compatible, Tunable Weights and Lightsync RGB - Black",$129.95,4.6 out of 5 stars,"12,543 ratings",
"Acer Nitro V Gaming Laptop | AMD Ryzen 7 8845HS Octa-Core AI Capable Processor | NVIDIA GeForce RTX 4060 Laptop GPU | 16"" WUXGA IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6E | ANV16-41-R5J0",$959.99,4.3 out of 5 stars,461 ratings,In Stock
